,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL,HIS
1flr,0,3,2,1,0,2,1,2,1,2,1,1,2,1,3,4,4,5,4,2
1fm9,3,4,0,4,1,9,10,6,11,14,7,6,8,4,5,4,0,2,8,3
1fo0,8,12,3,3,2,6,11,7,4,11,4,3,5,0,5,7,5,14,7,1
1fpc,4,4,4,6,5,0,4,10,4,6,3,1,3,2,2,3,3,4,4,1
1fq5,9,2,3,7,0,3,1,11,9,11,2,1,5,3,6,9,2,7,4,1
1ftm,5,4,2,2,1,0,4,9,6,6,3,4,5,2,5,7,2,5,5,0
1fv0,4,1,2,3,7,0,1,5,3,5,4,1,3,2,5,2,1,5,1,1
1fwu,0,2,3,2,0,1,2,3,0,4,2,0,2,0,2,0,3,3,0,1
1fwv,0,2,3,2,0,1,3,3,0,4,2,0,2,0,2,0,3,3,0,1
1fzj,10,7,1,3,2,6,10,7,4,9,4,3,4,1,3,6,5,15,7,1
1fzk,11,8,1,4,2,6,10,6,4,9,4,3,5,0,3,6,5,15,7,1
1fzm,9,9,1,3,2,6,10,7,5,10,4,2,5,1,4,6,5,12,7,1
1fzo,11,9,2,4,2,6,9,7,5,9,4,2,5,1,4,6,5,12,7,1
1fzq,5,1,3,5,1,3,1,4,5,8,4,0,1,0,3,5,1,1,3,0
1g1d,3,2,3,1,1,4,4,3,3,7,1,0,5,3,3,3,6,2,5,7
1g2k,2,2,2,3,0,1,1,7,5,7,1,1,1,3,0,4,0,0,5,0
1g2l,5,2,0,4,5,4,4,9,5,2,5,1,5,0,6,4,1,5,4,3
1g2o,11,1,2,2,0,0,7,13,3,10,0,1,1,3,4,7,1,3,6,4
1g30,4,6,3,6,5,0,4,10,4,5,3,1,3,2,3,3,3,5,4,1
1g32,4,6,3,6,5,0,4,10,4,6,3,1,3,2,2,3,3,5,4,1
1g35,2,2,2,3,0,1,1,7,5,7,1,1,1,3,0,4,0,0,5,0
1g36,6,0,5,3,5,3,0,12,4,2,4,1,2,2,7,3,1,6,4,1
1g3b,4,0,3,3,5,2,0,11,3,2,4,0,2,1,7,1,1,5,4,1
1g3c,5,0,4,3,5,3,0,10,3,2,4,0,2,1,6,2,1,6,4,1
1g3d,5,0,1,3,5,2,0,11,3,2,4,0,2,1,7,2,1,5,4,1
1g3e,5,0,4,3,5,2,0,11,3,2,5,0,2,1,7,2,1,6,4,1
1g45,3,2,3,2,1,4,4,4,3,7,1,0,4,3,3,3,6,2,7,7
1g46,3,2,3,1,1,4,4,5,3,8,1,0,4,3,3,3,6,2,7,7
1g48,3,2,3,2,1,4,4,6,3,7,1,0,4,3,3,3,6,2,7,7
1g4j,3,2,3,1,1,4,4,4,3,8,2,0,4,3,3,3,6,2,7,7
1g4o,3,1,3,1,1,4,4,5,3,7,1,0,4,3,3,3,6,2,6,7
1g52,3,3,3,2,1,4,4,3,3,8,1,0,5,3,3,3,6,2,6,7
1g53,3,2,3,2,1,4,4,5,3,7,1,0,5,3,3,3,6,2,6,7
1g54,3,3,3,1,1,4,4,4,3,8,1,0,5,3,3,3,6,2,6,6
1g7f,2,7,3,3,2,3,1,6,2,6,4,3,2,2,5,3,1,2,4,1
1g7g,2,8,5,3,3,4,1,6,2,6,4,3,3,2,4,3,1,2,4,1
1g7q,8,9,1,2,2,6,11,6,4,10,4,3,4,0,3,5,5,13,7,1
1g7v,7,5,4,7,3,3,3,3,0,5,5,1,5,5,5,1,0,1,4,5
1g85,3,3,4,2,0,1,3,4,5,5,3,0,8,1,2,7,0,5,11,2
1g98,3,2,5,4,0,6,4,10,5,4,4,1,4,1,8,7,2,3,2,1
1g9r,9,2,6,8,1,3,0,3,7,7,2,0,5,5,3,2,1,8,6,4
1ga8,4,3,5,5,1,4,1,2,3,1,1,0,4,2,2,3,1,6,2,2
1gaf,3,2,1,1,1,2,0,3,4,5,2,0,1,1,2,2,2,8,0,1
1gah,2,5,5,8,1,2,4,7,0,6,1,0,3,4,10,5,5,8,4,0
1gai,2,5,5,8,1,2,3,7,0,6,1,0,3,4,10,5,5,8,4,0
1gar,6,3,4,3,0,3,3,7,6,12,1,1,5,3,9,4,0,2,6,3
1gcz,6,1,4,2,1,1,1,4,5,4,2,2,3,3,3,2,1,5,3,1
1ghv,4,2,1,4,5,0,3,10,2,6,3,0,4,0,2,3,2,4,4,1
1ghw,4,1,1,4,5,0,4,11,2,7,3,0,4,0,2,3,3,4,4,1
1ghy,4,2,2,5,5,0,4,11,3,6,3,0,4,2,2,2,4,5,4,1
1ghz,5,0,2,3,5,2,0,11,3,2,4,0,2,1,6,1,1,6,4,1
1gi1,4,0,1,3,5,2,0,11,3,2,4,0,2,1,7,1,2,6,4,2
1gi4,5,0,1,3,5,2,0,10,3,2,5,0,2,1,8,1,1,6,4,2
1gi6,5,0,2,3,5,2,0,10,3,2,5,0,2,1,7,2,1,7,4,2
1gi7,5,1,0,7,5,1,0,8,4,4,3,0,1,1,4,4,2,4,4,2
1gi8,5,1,0,5,5,1,0,9,5,3,2,0,2,1,5,4,2,5,4,2
1gi9,6,1,0,6,5,1,0,9,5,3,2,0,2,1,5,4,1,5,4,2
1gj4,4,3,2,6,5,0,4,11,2,8,3,0,4,3,2,3,3,5,4,1
1gj6,5,0,2,3,5,2,0,12,4,3,5,2,2,2,9,2,1,7,4,2
1gj7,7,2,0,7,5,1,0,9,6,4,3,0,1,2,5,5,2,7,4,2
1gj8,5,2,0,5,5,1,0,9,6,4,2,0,2,3,5,5,1,8,4,2
1gja,6,1,0,6,5,1,0,9,5,4,3,0,2,1,5,5,2,5,4,2
1gjb,7,2,0,5,5,1,0,9,6,3,2,0,2,2,5,6,2,7,4,2
1gjc,7,2,0,5,5,1,0,9,6,3,2,0,2,2,5,6,2,8,4,2
1gjd,6,1,0,6,5,1,1,10,6,4,3,0,2,2,5,6,2,5,4,2
1gni,9,7,0,2,1,2,7,1,2,9,8,1,6,4,2,1,0,5,2,1
1gnm,2,2,2,4,0,1,2,6,5,7,2,1,1,3,0,4,0,0,4,0
1gnn,2,2,3,3,0,1,2,7,5,7,2,1,1,3,0,4,0,0,4,0
1gno,2,2,2,3,0,1,1,6,5,7,2,1,1,3,0,4,0,0,5,0
1gny,4,1,1,6,1,4,3,7,1,2,4,0,2,0,4,1,2,0,4,1
1gpk,2,1,5,3,1,3,6,10,4,4,0,2,7,1,9,1,5,7,6,1
1gpn,3,1,5,3,1,3,6,12,4,3,0,2,8,1,9,1,5,7,5,1
1grp,9,4,5,3,1,2,3,5,6,7,3,2,1,3,4,4,0,2,1,2
1gt1,3,4,3,2,0,1,4,3,5,5,3,0,8,1,3,8,0,5,10,2
1gu1,5,3,6,2,1,4,3,6,5,6,0,0,1,3,5,2,0,4,7,5
1gvw,4,0,2,12,0,4,2,15,10,9,1,0,7,2,14,8,3,5,3,0
1gvx,4,0,2,11,0,4,2,15,9,8,1,0,8,1,14,8,3,4,3,0
1gwv,4,2,1,5,1,5,3,0,2,2,2,0,1,0,2,2,5,7,0,3
1gyx,0,1,1,1,1,4,1,1,7,2,2,1,1,4,6,0,2,1,0,1
1gyy,0,1,1,1,1,4,1,1,8,3,2,1,1,4,6,0,2,1,0,1
1gz3,12,4,6,7,0,3,5,13,5,9,3,1,7,1,2,4,0,2,1,1
1gz4,13,3,6,7,0,3,5,13,5,9,3,0,7,1,3,4,0,1,1,1
1gz9,6,3,3,5,0,2,1,5,1,2,1,0,2,3,3,3,2,2,1,1
1gzc,6,2,1,5,0,2,1,5,1,2,0,0,1,3,3,3,2,2,1,1
1h0a,2,6,4,2,0,1,2,1,1,2,5,3,0,1,4,2,2,1,2,3
1h1d,3,1,2,4,2,0,4,5,1,4,5,4,1,1,1,2,2,6,5,1
1h1h,3,4,5,2,3,3,0,0,3,2,1,2,2,2,0,2,2,2,3,3
1h1p,3,0,2,3,0,2,4,4,3,11,9,0,4,1,0,2,0,2,6,1
1h1s,4,0,2,5,0,2,5,4,3,13,9,1,4,1,0,2,0,2,6,2
1h22,3,2,6,5,1,3,7,12,5,6,0,2,8,4,12,1,5,7,7,1
1h23,3,1,6,4,1,4,7,12,5,6,0,2,8,4,13,1,5,7,6,1
1h2t,1,9,2,5,2,6,2,9,1,5,2,2,4,0,3,2,1,4,3,1
1h46,7,4,4,11,4,2,2,3,3,5,1,3,1,3,5,3,5,4,0,2
1h4w,3,2,2,3,5,1,0,10,2,3,2,0,3,1,5,1,2,3,6,2
1h6h,3,4,0,0,0,3,3,1,1,3,3,1,3,1,2,1,0,3,4,2
1h9z,10,3,1,5,8,2,6,0,3,9,7,0,2,0,6,3,1,2,7,2
1ha2,9,3,1,5,8,2,6,0,3,9,6,0,2,1,5,3,1,2,6,2
1hbv,2,2,2,3,0,1,1,7,5,7,2,1,1,3,0,3,0,0,4,0
1heg,2,2,2,3,0,0,1,7,5,5,1,1,1,3,0,3,0,0,3,0
1hfs,8,2,4,8,0,1,3,7,3,10,0,1,6,4,4,6,2,4,2,7
1hi3,2,3,4,2,4,4,1,0,4,2,4,2,2,2,1,4,2,0,3,3
1hi4,2,3,6,2,3,4,1,0,3,2,4,3,3,3,1,5,2,0,3,3
1hi5,2,3,6,1,3,4,1,0,6,4,2,3,3,2,1,3,2,1,2,3
1hih,2,2,2,3,0,0,1,7,5,6,1,1,1,3,0,3,0,0,5,0
1hii,1,2,2,4,0,0,0,7,8,3,1,1,2,2,1,4,0,0,4,0
1hk4,3,6,2,3,2,3,6,3,1,10,6,0,1,3,5,1,0,1,5,1
1hlk,4,0,5,5,2,1,2,9,5,1,1,2,0,2,3,2,3,0,1,5
1hmr,3,4,2,5,1,2,2,2,4,7,6,2,3,1,4,15,2,2,5,3
1hms,3,4,1,5,1,2,2,2,4,7,6,2,3,1,5,15,2,2,5,3
1hmt,3,4,1,5,1,2,3,2,4,7,6,2,3,1,5,15,2,2,5,3
1hn2,3,4,3,2,0,1,4,3,5,5,4,0,8,1,3,8,0,5,11,2
1hnn,6,2,4,3,1,2,3,8,2,8,2,1,3,5,3,2,3,7,7,1
1hos,2,2,2,3,0,0,1,7,5,7,2,1,1,3,0,4,0,0,5,0
1hp0,8,2,4,7,4,0,2,6,2,6,1,4,4,2,1,5,5,3,5,2
1hpo,2,2,2,3,0,0,1,6,6,4,2,1,1,3,0,3,0,0,4,0
1hps,2,2,2,3,0,0,1,7,5,7,1,1,1,3,0,4,0,0,5,0
1hpv,2,2,2,3,0,0,0,6,5,7,1,1,1,3,0,4,0,0,5,0
1hpx,2,2,2,3,0,1,1,6,5,7,2,1,1,3,0,4,0,0,5,0
1hqg,2,2,2,7,0,2,2,6,3,3,1,1,0,5,3,6,1,1,5,3
1hsh,1,2,3,4,0,0,1,7,8,3,1,1,2,2,1,5,0,0,4,0
1hvh,2,2,2,3,0,1,1,7,5,7,1,1,1,3,0,4,0,0,5,0
1hvi,2,2,2,3,0,1,1,6,5,6,1,1,1,3,0,3,0,0,4,0
1hvj,2,2,2,3,0,1,1,6,5,6,1,1,1,3,0,3,0,0,4,0
1hvk,2,2,2,3,0,1,1,6,5,6,1,1,1,3,0,3,0,0,6,0
1hvl,2,2,2,3,0,1,1,7,5,6,1,1,1,3,0,3,0,0,4,0
1hvr,2,2,2,3,0,1,1,6,5,7,1,1,1,3,0,4,0,0,5,0
1hvs,3,2,2,3,0,1,1,6,5,6,1,1,1,3,0,3,0,0,2,0
1hwr,2,2,2,3,0,0,1,6,5,6,1,1,1,3,0,3,0,0,3,0
1hxb,2,2,2,3,0,0,1,7,5,7,2,1,1,3,0,4,0,0,5,0
1hxw,2,2,2,3,0,2,2,7,5,7,1,1,1,3,0,4,0,0,5,0
1hyo,4,4,2,4,0,4,4,8,2,4,2,6,3,3,7,4,2,5,3,4
1i00,3,5,3,4,1,2,1,8,3,8,4,1,4,4,3,4,3,5,4,3
1i5r,11,7,3,5,4,5,4,13,3,20,4,4,8,3,9,8,0,3,17,4
1i7z,2,1,2,1,1,0,1,2,1,6,1,1,2,3,4,1,3,7,2,1
1i80,6,1,2,2,0,0,3,10,2,9,0,1,1,4,4,6,1,3,5,3
1i9l,3,1,3,1,1,4,4,3,3,7,1,0,4,3,2,3,6,2,5,7
1i9m,3,2,3,0,1,4,4,5,4,8,1,0,4,3,3,3,6,2,8,7
1i9n,3,2,3,0,1,4,4,6,4,8,1,0,4,3,3,3,6,2,6,6
1i9o,3,2,3,1,1,4,4,6,4,9,1,0,5,3,3,3,6,2,6,7
1i9p,3,2,4,2,1,4,4,6,4,8,1,0,4,3,3,3,6,2,6,6
1i9q,3,2,3,1,1,4,4,5,4,8,1,0,4,3,3,3,6,2,6,7
1icj,4,3,0,3,2,3,7,5,8,7,1,2,1,1,2,1,0,1,5,3
1if7,3,1,3,2,1,4,4,3,3,8,1,0,5,3,2,3,6,2,5,6
1if8,3,1,3,2,1,4,4,3,3,7,1,0,5,3,2,3,6,2,5,7
1igb,4,2,2,10,2,1,3,6,3,3,1,2,4,2,5,5,0,3,2,3
1igj,1,0,4,2,1,2,0,2,2,4,2,1,1,2,4,4,3,7,3,2
1ii5,2,4,4,3,0,1,1,5,6,4,0,1,6,5,7,4,1,5,8,0
1iih,8,2,4,0,2,1,3,11,4,5,3,0,3,1,3,2,2,3,5,2
1iiq,2,3,2,3,0,1,1,6,5,7,2,1,1,3,0,4,0,0,5,0
1ik4,6,2,2,5,1,3,0,6,2,10,2,3,2,3,2,3,1,3,5,3
1ikt,3,3,1,4,0,3,3,4,7,9,6,3,6,1,4,3,2,1,6,1
1imx,2,3,0,3,6,1,4,1,1,5,0,1,2,0,1,1,0,0,2,0
1is0,2,6,1,2,2,1,4,3,3,5,5,0,1,0,5,5,0,5,3,3
1iy7,5,4,2,4,0,2,3,7,7,6,1,0,4,1,10,6,4,7,0,2
1izh,2,2,2,3,0,2,1,6,5,7,2,1,1,3,0,4,0,0,5,0
1izi,2,2,2,3,0,1,1,6,4,7,2,1,1,3,0,5,0,0,5,0
1j01,4,3,4,6,0,2,4,3,2,5,2,1,2,2,3,2,4,4,6,3
1j14,3,0,2,4,5,1,0,11,3,3,1,0,2,2,5,1,1,4,6,1
1j16,4,0,2,4,6,1,0,11,3,3,1,0,3,2,4,1,1,3,6,1
1j17,4,1,5,4,5,1,1,11,5,3,1,1,4,2,7,4,1,3,7,1
1j4r,2,3,1,4,1,1,4,7,4,3,5,2,4,4,2,3,1,3,5,2
1jak,3,4,0,7,0,3,5,9,1,7,2,4,1,2,5,5,4,3,4,7
1jao,8,1,4,5,0,0,2,4,1,5,0,1,6,3,2,1,2,4,1,5
1jaq,8,1,5,6,0,1,2,3,1,5,0,1,6,4,3,0,2,4,1,6
1jcx,8,4,4,5,2,5,2,4,7,6,5,1,6,3,8,7,0,1,3,3
1jd5,1,3,2,4,3,4,6,5,0,6,1,1,4,1,3,1,4,3,3,1
1jet,4,5,10,6,2,2,4,3,2,8,3,1,2,4,9,6,2,14,5,3
1jeu,5,5,11,6,2,1,4,3,2,5,4,2,2,4,10,6,2,15,5,4
1jev,5,5,12,6,2,3,4,3,4,8,4,2,3,4,10,7,2,17,5,4
1jfh,4,4,5,4,1,3,2,7,3,3,0,1,1,5,2,1,3,2,6,4
1jgl,4,0,2,1,1,2,0,1,1,5,1,0,2,2,1,3,4,5,1,2
1jlr,5,7,1,1,2,2,7,4,6,5,3,3,5,3,2,4,1,2,4,0
1jmf,6,4,0,3,1,2,1,3,5,6,2,1,5,4,4,5,3,7,4,6
1jmg,5,4,0,3,1,3,2,4,5,5,2,2,5,4,4,4,3,7,4,6
1jmi,5,4,1,3,1,3,2,3,5,6,1,1,4,4,5,4,3,7,5,6
1jn2,2,2,2,5,0,0,0,7,1,3,1,0,1,2,5,3,0,2,1,0
1jn4,6,4,5,2,6,2,4,2,3,1,4,2,3,2,1,4,0,3,7,3
1joc,3,4,3,1,3,1,2,1,1,0,3,0,2,2,4,1,1,0,5,2
1jq8,4,3,0,4,9,0,3,7,3,4,5,1,3,2,5,2,1,7,1,1
1jq9,3,2,1,4,7,0,4,7,3,4,6,1,3,2,5,2,1,6,1,1
1jqd,3,0,0,3,1,6,6,4,8,8,3,4,5,1,4,2,1,5,4,3
1jqe,2,2,2,4,2,4,5,6,4,8,2,3,5,2,7,5,3,4,4,0
1jqy,5,2,4,1,2,4,4,2,3,1,3,2,0,3,5,2,1,1,3,1
1jt1,3,0,4,4,1,1,2,5,4,4,1,1,3,1,3,4,0,5,1,5
1jwt,4,5,3,6,5,0,4,12,4,5,3,1,3,3,2,4,3,5,4,1
1jyq,3,4,1,2,0,3,3,3,3,5,4,0,5,2,6,0,1,1,6,2
1jys,8,1,1,5,0,0,2,7,5,4,1,2,3,1,3,1,0,0,4,1
1jzs,6,6,3,6,1,3,4,9,5,5,5,2,3,6,5,4,5,6,5,4
1k1i,5,0,5,3,5,3,0,11,3,2,5,0,2,1,7,2,1,6,4,1
1k1j,5,0,5,3,5,3,0,12,3,2,4,1,2,1,7,2,1,6,4,1
1k1l,5,0,5,3,5,3,0,12,4,2,4,1,2,1,7,2,1,6,4,1
1k1m,5,0,5,3,5,3,0,12,3,2,4,1,2,1,7,2,1,6,4,1
1k1n,5,0,5,3,5,3,0,12,4,2,4,1,2,1,7,3,1,6,4,1
1k1y,2,3,3,6,1,2,7,7,4,7,3,1,6,3,4,2,6,6,8,5
1k21,4,4,3,6,5,0,4,11,4,5,3,1,3,2,2,5,3,4,4,1
1k22,4,5,3,7,5,0,4,10,4,5,3,1,3,2,3,5,3,5,4,1
1k4g,3,2,1,3,2,4,2,12,2,7,1,6,4,3,6,5,1,4,7,1
1k4h,4,1,1,4,2,4,2,12,2,8,1,7,3,2,7,5,1,4,7,1
1k9s,5,6,0,4,3,2,4,8,7,4,0,6,4,4,6,5,0,2,5,4
1kav,1,7,3,2,3,3,1,6,2,4,4,2,2,1,4,3,1,2,3,1
1kc7,1,5,2,3,3,1,3,6,4,5,0,4,2,3,3,7,0,1,3,2
1kdk,2,2,2,5,0,3,3,3,4,10,4,4,5,2,6,4,3,1,4,3
1kel,1,3,3,1,0,1,2,4,3,2,1,1,3,1,2,4,2,5,3,2
1kjr,2,5,7,2,1,1,3,3,4,2,1,0,3,2,1,1,1,2,4,1
1kll,3,3,0,2,0,0,2,1,2,2,0,0,1,1,3,3,2,1,5,1
1kmy,6,5,1,4,1,0,3,3,3,4,1,5,5,2,6,3,1,3,5,9
1koj,3,2,6,4,0,6,4,10,5,4,4,1,4,1,8,7,2,3,4,2
1kpm,5,3,1,3,8,0,3,7,3,4,5,1,3,2,5,2,1,7,1,1
1ksn,4,3,0,4,5,4,4,11,5,1,5,1,5,0,5,5,1,4,4,3
1kv1,6,4,2,5,1,1,2,7,6,13,7,2,2,0,4,2,1,5,8,5
1kv5,8,2,4,0,2,1,3,10,4,5,3,0,3,1,3,2,2,3,5,1
1kyv,5,2,4,1,0,2,4,9,6,9,1,3,1,3,4,2,3,2,8,4
1kzk,2,3,2,3,0,1,1,7,5,7,1,1,1,3,0,4,0,0,5,0
1kzn,6,3,2,4,1,2,6,6,7,3,1,3,2,1,3,5,0,0,15,2
1l2s,6,3,4,3,0,1,3,8,1,5,3,0,1,3,7,4,0,5,6,1
1l6m,2,2,0,1,0,1,0,1,4,5,4,1,5,0,2,3,2,7,5,0
1l83,7,4,3,2,0,3,1,4,2,6,3,3,3,1,2,2,2,1,6,0
1laf,10,2,1,8,0,4,2,6,8,5,1,0,5,1,8,6,1,6,3,0
1lag,8,2,1,8,0,4,2,6,6,4,1,0,4,0,7,6,0,6,2,0
1lah,9,2,1,8,0,4,2,6,6,4,1,0,4,1,8,6,0,6,2,0
1lbf,2,3,4,3,0,1,8,4,10,11,5,2,4,1,8,2,1,3,3,0
1lee,2,1,4,6,1,2,1,10,10,9,2,4,7,3,7,7,3,4,5,0
1lf2,2,1,4,6,1,1,1,10,10,9,2,4,7,3,7,7,3,4,7,0
1lf9,7,5,4,5,0,5,7,12,5,6,0,0,0,3,7,4,6,7,2,4
1lgt,6,4,1,4,1,0,3,4,3,4,2,5,5,3,6,3,2,3,5,9
1lgw,6,5,3,2,1,4,1,4,3,6,3,2,3,1,2,3,2,1,6,0
1li2,6,5,3,2,1,4,1,4,3,6,3,2,3,1,2,2,2,1,5,0
1li3,6,5,3,2,1,4,1,4,3,6,3,2,3,1,2,2,2,1,6,0
1li6,6,4,3,2,1,3,1,4,2,6,2,2,3,1,2,2,2,1,6,0
1lke,4,1,1,2,2,2,3,6,6,2,5,1,3,0,6,5,4,9,8,3
1lkk,3,4,1,4,1,1,3,2,4,6,4,0,3,1,8,3,0,3,3,2
1lkl,3,4,1,4,1,1,3,2,4,4,4,0,3,1,8,2,0,3,3,2
1lnm,4,1,1,2,2,2,3,6,6,2,5,1,2,0,6,5,4,9,8,2
1lol,5,2,1,4,0,0,3,5,11,7,3,2,1,6,5,3,0,2,3,2
1loq,5,2,0,2,0,1,2,9,10,9,2,2,2,4,4,2,0,3,7,2
1lor,6,2,1,3,0,1,4,9,13,9,3,2,2,6,5,3,0,3,7,2
1lox,3,3,3,3,1,7,4,6,6,11,0,3,5,2,8,4,3,1,6,6
1lpg,4,3,0,4,5,3,4,10,5,1,4,1,5,0,5,5,1,5,4,3
1lpk,4,3,0,4,5,4,4,11,5,1,5,1,5,0,5,5,1,4,4,3
1lpz,4,3,0,4,5,4,4,10,5,1,5,1,5,0,6,5,1,4,4,3
1lrh,1,2,2,1,1,3,4,2,8,7,2,1,5,3,7,4,3,2,5,4
1lrt,2,5,6,5,5,6,5,17,11,2,5,2,4,2,13,4,3,1,4,0
1lyb,6,3,1,7,1,4,1,12,10,8,2,6,4,4,9,4,3,7,7,1
1lyx,5,2,5,0,2,1,2,7,4,5,3,0,5,1,2,3,2,2,5,1
1lzq,4,4,4,6,0,1,2,13,8,12,4,2,2,6,0,10,0,0,10,0
1m0n,13,2,2,2,0,4,5,11,5,11,1,3,3,2,11,9,1,3,2,3
1m0o,12,2,2,2,0,4,5,9,6,11,1,3,3,2,10,9,1,3,2,3
1m0q,13,3,2,2,0,4,5,10,7,11,1,2,3,2,11,9,1,3,2,3
1m13,5,5,3,3,4,5,5,2,5,16,4,5,10,6,6,5,1,4,3,4
1m1b,4,3,4,3,1,3,3,2,4,7,6,2,1,1,6,3,2,2,5,4
1m2p,1,3,4,4,1,0,4,4,8,7,8,1,3,1,3,1,1,2,5,2
1m2q,1,3,4,3,1,0,4,4,8,8,9,1,3,1,3,1,1,2,6,2
1m2r,0,3,4,4,1,0,4,4,7,7,5,1,3,1,1,1,1,2,5,3
1m2x,4,1,5,5,2,0,3,7,4,2,2,0,1,2,1,2,2,2,0,4
1m48,2,1,2,0,1,1,6,0,2,7,4,2,3,2,0,4,1,3,1,0
1m4h,5,5,4,6,0,4,6,12,7,8,5,2,4,4,11,6,3,7,7,0
1m5w,5,6,5,3,3,0,7,8,9,8,1,1,1,1,1,5,0,1,4,6
1m6p,0,4,2,2,2,3,5,3,1,2,3,1,2,1,3,1,0,4,3,1
1m7d,3,2,2,2,0,2,2,3,2,5,1,1,1,1,2,5,2,5,4,4
1m7i,3,2,2,3,0,2,2,3,1,5,3,1,1,1,4,5,2,5,4,4
