,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL,HIS
1m7y,7,3,6,5,2,4,4,9,3,10,1,2,7,5,10,5,1,7,5,0
1m83,5,3,5,4,1,7,2,6,12,6,8,3,3,5,5,5,1,4,6,2
1m9n,6,4,1,2,2,0,3,6,4,10,4,1,1,3,4,5,0,3,10,3
1mai,0,6,1,1,0,3,2,0,1,5,3,1,4,0,5,1,2,1,2,0
1me7,4,4,1,5,3,3,4,14,9,1,2,3,4,0,11,1,1,3,7,2
1me8,4,4,2,5,2,4,3,14,10,1,2,3,4,0,11,1,1,3,8,2
1mes,1,2,2,3,0,0,1,6,4,7,1,1,1,3,0,4,0,0,6,0
1met,1,2,2,3,0,1,1,6,5,7,1,1,2,3,0,4,0,0,4,0
1meu,2,2,2,3,0,0,2,6,4,7,1,1,2,3,0,4,0,0,5,0
1mfa,4,1,8,2,0,0,0,8,4,2,0,1,1,0,3,4,5,5,0,4
1mfd,4,1,8,2,1,0,0,7,4,2,0,1,1,1,2,4,5,5,0,4
1mfi,6,1,4,2,1,1,0,3,5,3,2,2,3,2,4,2,1,5,3,1
1mh5,0,2,4,1,1,2,1,4,3,9,2,0,3,3,2,3,2,7,3,2
1mhw,9,0,4,5,3,3,3,11,3,3,2,2,4,0,9,1,3,2,3,2
1mj7,0,1,5,0,1,2,1,2,2,8,2,1,4,4,4,3,2,6,1,2
1mjj,0,1,2,0,1,2,1,2,3,9,2,0,4,4,3,3,2,8,1,3
1mmp,7,1,3,3,0,0,2,7,1,3,0,2,6,4,2,3,1,3,1,5
1mmq,7,1,3,3,0,0,2,7,1,4,0,2,6,5,2,3,1,4,1,5
1mmr,7,1,3,3,0,0,2,7,1,3,0,2,6,5,2,3,2,4,1,5
1moq,8,1,3,2,2,4,6,6,4,8,4,1,1,2,9,7,0,2,5,1
1mq5,4,3,0,4,5,3,4,11,6,1,3,1,4,2,6,5,1,5,4,3
1mq6,4,3,0,4,5,3,4,11,6,1,3,1,4,1,5,5,1,4,4,3
1mrn,19,14,2,7,0,4,5,7,2,8,1,1,2,2,5,3,2,6,5,2
1mrs,17,9,2,6,0,2,4,4,1,7,1,1,2,1,5,2,2,6,4,1
1mrw,2,2,2,3,0,1,0,7,6,6,2,1,1,3,0,4,0,0,5,0
1mrx,2,2,2,3,0,1,1,7,5,6,2,1,2,3,0,4,0,0,5,0
1msm,2,3,2,3,0,1,0,7,6,6,2,1,1,3,0,4,0,0,5,0
1msn,2,2,2,3,0,1,1,7,5,6,1,1,2,3,0,4,0,0,5,0
1mtr,2,2,2,3,0,0,1,7,6,5,2,1,1,3,0,4,0,0,4,0
1mu6,4,5,3,6,5,0,4,10,4,6,3,1,3,2,3,3,3,4,4,1
1mu8,4,5,3,6,5,0,4,11,4,5,3,1,3,3,3,4,3,4,4,1
1mue,4,5,3,6,5,0,4,10,4,5,3,1,3,2,3,3,3,4,4,1
1n1m,2,5,1,3,1,3,4,5,0,1,0,0,2,2,5,1,4,9,7,4
1n1t,3,9,4,6,2,5,4,7,3,0,1,2,5,3,8,3,3,2,6,1
1n2v,3,2,1,3,2,4,2,10,1,7,1,5,3,1,7,4,1,3,7,1
1n3i,11,1,2,2,0,0,7,13,3,10,0,1,1,4,4,7,1,3,7,4
1n46,10,5,3,3,4,3,3,7,6,13,3,4,8,2,4,6,1,1,9,4
1n4h,7,2,3,3,5,6,7,5,5,11,4,4,6,0,3,4,1,5,8,4
1n4k,2,7,2,1,0,4,4,1,0,2,5,1,2,1,5,5,0,2,1,0
1n51,4,6,2,7,2,1,4,6,8,6,1,1,3,3,5,8,2,6,4,5
1n5r,0,4,1,3,0,4,2,4,2,6,0,0,3,3,3,2,1,5,5,2
1n8v,3,3,5,3,4,1,10,2,5,8,6,1,0,1,1,3,1,5,4,2
1nc1,13,2,2,6,0,3,5,12,8,5,2,2,4,1,6,3,0,1,8,2
1nc3,14,2,2,6,0,3,5,12,8,5,2,2,4,1,6,3,0,1,8,2
1ndv,5,2,0,8,3,1,2,8,3,9,2,3,3,4,3,4,4,4,2,6
1ndw,4,2,1,7,3,1,2,3,5,8,1,3,3,5,3,3,2,4,3,6
1ndy,5,2,0,7,3,1,2,3,5,8,1,3,3,5,3,4,2,3,3,6
1ndz,5,2,0,8,3,1,2,7,6,10,2,3,3,5,3,4,4,4,3,7
1nf8,5,6,0,3,1,3,0,7,4,5,2,4,5,4,6,2,2,5,5,2
1nfu,4,2,0,4,6,3,4,11,6,1,3,1,4,2,6,5,1,4,4,3
1nfw,4,2,0,4,5,3,4,11,6,1,3,1,4,1,5,5,1,4,4,3
1nfx,4,2,0,4,5,3,4,11,6,1,3,1,4,1,5,5,1,4,4,3
1nfy,4,2,0,4,5,3,4,11,6,1,3,1,4,2,5,5,1,4,4,3
1nh0,2,3,2,3,0,1,1,7,5,7,3,1,1,3,0,4,0,0,5,0
1nhu,7,7,2,1,0,0,1,1,2,6,2,2,2,4,5,2,3,4,4,3
1nja,4,4,0,3,2,3,2,3,4,5,1,1,4,5,4,4,3,6,6,6
1njc,5,4,0,4,1,2,2,3,5,6,1,1,4,4,4,5,3,7,5,5
1njd,5,4,1,4,1,3,2,3,5,6,1,1,4,4,4,4,3,7,5,6
1nje,5,4,2,3,1,3,2,3,5,6,1,1,4,5,3,4,3,6,5,6
1njj,5,4,1,4,1,1,3,2,0,6,4,2,3,5,1,3,1,2,4,0
1njs,4,2,5,3,2,3,3,6,4,5,5,2,6,2,6,1,1,0,6,4
1nl9,3,7,3,4,3,3,1,6,2,5,3,3,5,3,5,4,1,3,4,1
1nli,7,3,4,1,0,2,2,2,7,8,0,2,2,0,6,2,1,4,4,0
1nm6,4,5,3,6,5,0,4,10,4,5,3,1,3,2,2,4,3,4,3,1
1nny,3,7,3,5,3,4,2,6,4,7,4,3,6,4,5,4,1,2,3,2
1no6,2,7,3,3,2,3,1,6,2,5,2,1,3,2,4,4,1,2,3,1
1nq7,7,2,3,3,5,6,8,6,5,11,3,4,7,0,3,6,1,5,8,4
1nt1,4,4,3,6,5,0,4,11,4,5,3,1,3,3,3,4,3,4,4,1
1nu3,5,5,3,5,0,2,5,3,2,11,0,0,6,2,3,4,1,3,7,0
1nvq,5,1,4,4,1,2,7,6,5,10,4,0,4,1,2,2,0,4,6,1
1nvr,5,1,3,4,1,2,7,6,5,10,4,0,4,1,2,2,0,3,6,1
1nvs,4,1,3,4,1,2,7,7,4,9,4,0,4,1,2,1,0,3,6,1
1nw4,4,5,3,5,4,1,5,8,2,7,2,3,3,3,8,1,1,3,8,2
1nw5,8,3,1,7,4,2,3,5,4,6,2,1,4,5,1,4,3,4,6,2
1nw7,5,2,1,8,4,2,2,6,4,3,2,1,4,4,2,3,3,3,4,2
1nwl,3,7,5,3,2,3,1,6,2,7,4,2,4,3,5,3,1,2,3,1
1nz7,3,7,3,5,3,4,2,6,3,6,5,2,5,4,5,4,1,2,4,2
1o0f,6,2,4,1,3,2,3,2,1,1,3,2,3,2,0,3,0,2,6,2
1o0h,6,3,5,1,3,2,3,2,1,1,3,2,3,2,0,3,0,2,6,2
1o0m,5,3,3,2,5,1,4,0,3,1,4,2,3,2,1,3,0,1,5,3
1o0n,4,3,3,2,3,1,3,0,3,1,4,2,3,2,1,3,0,1,5,3
1o0o,5,2,3,2,4,2,2,1,1,1,3,2,3,2,1,3,0,0,4,2
1o2g,4,2,2,5,5,0,4,11,2,9,3,0,4,2,2,3,3,4,4,1
1o2h,5,0,3,3,5,2,0,11,4,3,5,1,2,1,10,2,1,7,4,2
1o2j,5,0,3,3,5,2,0,10,4,3,5,1,2,1,9,2,1,7,4,2
1o2k,5,0,3,3,5,2,0,10,4,3,5,1,2,1,9,2,1,7,4,2
1o2n,5,0,2,3,5,2,0,12,4,3,5,1,2,2,8,2,1,7,4,2
1o2o,5,0,2,3,5,2,0,12,4,3,5,1,2,2,8,2,1,7,4,2
1o2q,5,0,3,3,5,2,0,12,4,3,5,2,2,2,8,2,1,7,4,2
1o2s,5,0,2,3,5,2,0,10,3,2,5,0,2,1,7,2,1,6,4,2
1o2w,5,0,2,3,5,2,0,11,3,3,5,0,2,1,8,2,1,7,4,2
1o2x,5,0,2,3,5,2,0,11,3,3,5,0,2,1,8,2,1,7,4,2
1o2z,5,0,4,3,5,2,0,12,4,3,5,1,2,1,9,2,1,7,4,2
1o30,5,0,2,3,5,2,0,12,4,3,5,1,2,1,9,2,2,7,4,2
1o33,5,0,2,3,5,2,0,10,3,2,5,0,2,1,7,2,1,6,4,2
1o36,5,0,3,3,5,2,0,12,4,3,5,1,2,1,10,2,2,7,4,2
1o38,5,0,2,3,5,2,0,11,4,3,5,1,2,1,9,2,1,7,4,2
1o3d,5,0,2,3,5,2,0,11,4,3,5,1,2,1,9,2,1,7,4,2
1o3f,5,0,2,3,5,2,0,10,4,3,5,1,2,1,10,2,1,7,4,2
1o3h,5,0,2,3,5,2,0,11,3,2,5,0,2,1,7,2,1,7,4,2
1o3i,5,0,2,3,5,2,0,11,3,2,5,0,2,1,7,2,1,7,4,2
1o3j,5,0,2,3,5,2,0,10,3,3,5,0,2,1,7,2,1,7,4,2
1o3k,5,0,2,3,5,2,0,11,3,2,5,0,2,1,7,2,1,7,4,2
1o3p,6,2,0,5,5,1,0,9,6,3,2,0,2,2,5,6,2,8,4,3
1o7o,4,5,3,7,1,6,3,1,6,1,3,5,3,1,2,2,4,5,7,3
1o86,6,4,6,4,2,3,6,3,6,3,3,2,7,4,6,4,3,5,6,6
1o8b,8,2,0,5,1,1,2,9,5,5,5,0,4,2,5,4,0,1,4,1
1o9d,5,6,5,4,1,1,2,3,6,9,3,2,4,2,6,3,2,6,2,2
1oai,4,1,3,2,1,3,3,2,1,3,3,1,3,1,3,2,2,0,1,1
1oar,2,2,4,2,1,0,0,3,2,2,1,2,1,0,2,5,6,6,2,1
1oba,2,0,1,3,0,0,2,2,1,2,4,3,1,0,1,1,3,4,1,0
1obx,3,0,2,3,0,1,0,4,8,2,5,1,2,0,7,4,0,0,4,2
1ocq,8,1,3,4,0,2,4,7,1,3,1,1,2,1,11,6,5,3,0,4
1od8,5,4,5,5,0,3,4,4,2,3,2,1,1,0,6,5,3,3,3,3
1odj,14,6,1,4,0,1,5,7,5,7,0,2,2,6,5,6,0,1,6,2
1ody,2,2,2,3,0,1,0,6,5,6,2,1,1,3,0,3,0,0,3,0
1oe8,5,4,1,2,0,1,6,5,8,6,5,2,2,4,3,1,1,4,3,2
1ofz,2,4,1,1,0,6,1,6,6,0,2,0,0,0,3,2,4,2,5,0
1ogg,6,3,5,7,1,3,2,9,8,4,1,3,7,5,5,5,4,10,6,1
1ogx,4,4,3,3,2,2,4,5,6,5,1,5,3,2,2,1,2,4,7,0
1ohr,2,2,2,3,0,0,1,7,5,7,2,1,1,3,0,4,0,0,5,0
1oif,5,3,6,2,0,1,4,3,1,4,1,1,4,1,4,4,5,6,4,2
1okl,3,3,4,1,1,3,4,4,3,9,0,0,5,3,3,3,5,3,5,6
1oko,3,0,4,3,2,2,2,5,1,1,0,0,1,3,2,2,1,3,1,1
1ols,9,5,4,5,2,6,7,9,8,2,0,2,7,4,6,7,0,9,3,4
1olu,8,4,4,4,2,7,7,8,7,2,0,2,7,5,5,7,0,8,2,2
1olx,9,5,3,5,2,7,6,9,8,2,0,2,7,4,7,8,0,9,2,4
1om1,1,3,4,5,1,0,4,4,7,8,10,1,3,1,2,1,1,2,5,3
1ony,3,7,3,4,3,3,1,7,2,5,4,2,4,3,5,3,1,2,4,1
1onz,2,7,2,3,2,3,1,7,2,5,2,3,3,2,4,4,1,3,4,1
1ork,12,6,2,6,0,5,7,4,3,16,1,3,5,2,5,5,1,3,5,5
1os0,5,1,7,8,0,2,6,10,6,3,0,1,3,1,5,4,1,6,5,3
1os5,8,6,2,1,1,0,1,2,2,6,3,2,2,5,6,3,3,4,5,4
1oss,5,3,0,3,6,2,1,15,2,0,0,1,0,3,2,1,1,5,7,1
1ow4,7,3,6,6,2,1,0,3,3,9,5,4,3,2,4,5,0,4,7,0
1owd,6,2,1,7,5,1,0,8,5,4,3,0,1,1,5,5,2,7,4,3
1owe,6,2,0,7,5,2,0,8,5,4,3,0,1,1,5,6,2,6,4,3
1owh,6,2,0,7,5,2,0,8,5,4,3,0,1,1,5,5,2,6,4,3
1oyq,6,0,6,3,5,3,0,12,4,2,4,1,2,2,7,3,1,6,4,1
1oyt,4,6,3,6,5,0,4,10,4,6,3,1,4,2,2,3,3,5,4,1
1oz0,9,7,5,10,3,5,2,7,4,4,5,2,8,4,13,3,0,2,7,5
1p19,2,5,2,6,0,1,2,5,4,9,2,0,3,1,4,4,0,4,10,0
1p1n,3,4,2,2,0,0,5,8,3,6,3,3,5,1,5,8,1,4,4,0
1p1o,5,4,2,2,0,0,4,9,6,4,3,4,5,1,5,8,2,5,4,0
1p1q,5,4,2,2,1,0,4,9,6,5,3,4,5,2,5,8,2,5,5,0
1p28,6,3,6,2,2,0,0,2,3,8,5,3,2,2,3,4,0,3,5,0
1pa9,5,7,2,2,2,6,1,3,3,2,1,2,2,1,1,2,1,1,4,1
1pb8,3,2,2,2,1,4,1,7,6,3,3,2,9,1,5,4,2,1,3,1
1pb9,3,1,2,2,1,3,2,7,7,3,3,2,8,1,5,4,2,2,4,1
1pbk,5,1,1,3,1,1,4,6,4,5,5,0,3,3,1,4,3,2,7,0
1pbq,4,1,2,2,1,4,2,7,7,3,3,2,8,2,5,5,2,2,6,1
1pdz,5,4,4,6,0,2,7,5,1,2,3,2,0,1,6,3,0,0,4,2
1pfu,5,0,2,4,2,0,1,6,6,2,1,2,3,2,2,2,3,6,2,8
1pgp,4,3,3,2,1,4,2,14,4,3,4,5,2,1,4,3,2,2,4,3
1pkx,6,4,1,3,2,1,2,6,3,9,4,1,3,3,4,5,0,3,10,3
1pme,4,1,3,5,2,0,1,5,10,11,5,2,3,1,3,3,0,6,5,2
1pot,4,1,8,4,0,2,5,3,4,0,0,4,2,3,5,6,5,7,5,0
1ppc,5,0,5,3,5,3,0,12,4,2,4,1,2,1,6,3,1,6,4,1
1pph,5,0,5,3,5,3,0,10,3,2,4,1,2,1,7,2,1,6,4,1
1ppi,6,6,7,6,1,5,5,9,5,4,2,2,3,5,4,1,3,3,7,5
1ppk,7,0,7,8,1,4,2,14,8,10,1,0,6,1,11,6,2,5,1,0
1ppl,7,0,7,7,1,4,2,17,8,10,1,0,6,1,10,7,2,5,1,0
1ppm,6,0,7,10,1,3,2,17,8,10,1,0,6,1,11,6,2,4,1,0
1pr1,4,5,0,4,3,0,3,8,6,3,0,5,3,4,6,3,0,2,5,3
1pr5,4,4,0,4,3,0,3,8,7,4,0,5,3,4,6,3,0,2,5,3
1pro,2,2,2,3,0,0,1,6,5,7,1,1,1,3,0,4,0,0,4,0
1ps3,2,6,1,10,0,2,2,7,3,2,1,1,2,3,2,2,3,8,0,4
1pu7,8,1,3,1,0,2,4,2,2,8,3,0,2,2,3,2,3,2,5,1
1pu8,7,1,3,1,0,2,4,2,2,7,3,0,2,2,3,2,3,2,5,1
1pvn,4,6,2,5,3,4,5,15,10,2,2,3,5,0,11,2,2,4,7,2
1px4,4,5,5,9,2,4,6,5,0,0,1,5,3,1,6,2,2,3,4,4
1pxn,3,1,2,4,0,2,5,3,4,12,9,1,4,1,0,2,0,2,7,2
1pxo,3,1,2,5,0,2,4,4,4,13,9,0,4,1,0,1,0,2,6,2
1pxp,4,1,2,4,0,2,4,3,4,13,9,1,4,1,0,1,0,3,7,2
1pyn,3,7,3,5,3,4,2,6,3,7,4,3,6,3,6,3,1,2,4,2
1pz5,3,2,2,3,0,2,2,3,1,4,3,1,1,1,3,5,1,5,3,4
1pzi,4,2,4,1,2,4,3,2,3,1,3,1,0,2,4,2,1,1,3,1
1pzo,6,5,3,4,0,1,4,7,8,3,3,4,1,2,4,5,0,3,4,0
1pzp,7,4,1,2,0,1,2,5,9,6,3,0,1,2,3,1,2,2,4,1
1q1g,5,5,2,5,4,1,6,8,2,7,2,2,3,3,8,1,1,3,8,2
1q54,7,6,3,2,2,2,6,2,2,2,3,2,4,4,5,4,4,4,9,4
1q63,3,3,1,3,2,4,2,11,2,7,1,7,4,3,8,5,1,4,7,1
1q65,3,2,1,3,2,4,2,11,1,7,0,6,3,2,8,5,1,4,7,1
1q66,5,1,1,3,2,4,2,12,3,9,1,7,3,2,8,6,1,4,7,1
1q7a,3,0,2,3,8,0,2,5,3,5,3,1,3,2,5,1,1,5,1,1
1q84,4,5,2,3,0,5,8,13,4,5,1,2,5,6,6,3,5,9,11,3
1q8t,2,3,3,5,0,2,5,7,3,9,4,5,5,2,2,5,0,4,6,2
1q8u,2,3,3,5,0,2,5,7,2,8,4,5,4,2,3,5,0,4,6,1
1q8w,2,3,3,5,0,2,5,7,2,8,4,5,4,2,2,5,0,4,6,1
1q91,3,5,1,7,3,1,3,4,4,4,4,2,7,3,5,3,2,1,2,1
1q95,3,8,3,4,0,4,5,7,1,5,3,2,3,4,5,8,0,4,5,4
1qan,1,0,5,3,1,2,3,4,12,5,6,0,6,3,5,5,0,3,2,3
1qaw,3,3,1,2,0,1,2,2,4,3,2,0,3,0,3,4,0,0,4,3
1qb1,5,0,6,3,5,3,0,13,4,2,4,1,2,2,7,4,1,5,4,1
1qb6,5,0,5,3,5,3,0,13,4,2,4,1,2,2,7,4,1,5,4,1
1qb9,5,0,5,3,5,3,0,12,4,2,5,1,2,2,7,3,1,6,4,1
1qbn,5,0,5,3,5,3,0,13,4,2,4,1,2,2,6,4,1,5,4,1
1qbo,4,0,6,3,5,3,0,12,4,2,4,1,2,2,6,3,1,5,4,1
1qbq,9,1,5,3,4,4,1,7,1,2,5,2,2,2,4,2,5,9,4,5
1qbr,2,2,2,3,0,1,1,7,5,7,2,1,1,3,0,4,0,0,4,0
1qbs,1,2,2,3,0,0,1,6,5,7,1,1,1,3,0,4,0,0,5,0
1qbt,2,2,2,3,0,1,1,6,5,7,2,1,1,4,0,4,0,0,4,0
1qbu,2,2,2,3,0,1,1,6,5,7,2,1,1,3,0,4,0,0,3,0
1qbv,4,4,3,6,5,0,4,10,4,5,3,1,3,2,2,3,3,5,4,1
1qca,6,3,4,3,4,2,2,3,3,6,1,2,12,6,5,4,2,3,5,5
1qf0,5,1,7,9,0,3,6,10,6,4,0,2,3,1,6,5,1,6,5,3
1qf1,5,1,7,8,0,1,6,8,6,3,0,2,3,1,6,5,1,5,5,3
1qf2,4,1,7,6,0,2,5,10,5,3,0,0,2,1,4,5,1,6,5,3
1qft,3,2,3,4,0,1,7,5,1,2,2,1,5,2,0,6,2,4,7,0
1qhc,6,3,4,2,5,2,4,2,3,1,5,2,3,2,1,5,0,3,7,3
1qi0,5,1,3,3,0,2,3,6,1,3,1,1,1,0,9,4,4,3,0,4
1qin,5,2,5,5,1,4,2,6,6,9,9,5,5,2,3,5,2,3,3,2
1qiw,7,5,1,5,0,3,13,1,5,8,4,8,8,0,3,3,0,2,6,1
1qji,4,1,2,4,2,3,2,8,8,4,2,3,4,1,10,5,2,8,3,5
1qka,6,5,12,6,2,3,4,4,5,9,4,2,3,4,12,7,2,15,5,4
1qkb,5,5,11,6,2,2,4,3,2,7,3,1,2,4,9,6,2,16,5,3
1qpb,1,0,4,1,0,1,4,8,3,6,1,0,5,1,4,7,1,1,2,3
1qq9,4,2,3,7,1,0,4,13,2,4,0,1,3,0,7,2,1,4,1,3
1qsc,3,3,4,3,2,2,0,5,3,4,1,0,7,3,6,3,0,1,4,0
1qxk,4,7,3,5,3,4,2,6,3,7,4,2,5,3,6,3,1,2,3,2
1qy1,3,1,3,1,0,2,3,4,7,11,3,3,7,1,4,5,1,3,3,3
1qy2,3,1,3,1,0,2,2,4,7,11,2,3,7,1,4,5,1,3,3,4
1qy5,4,1,3,3,0,1,4,8,7,7,5,3,4,0,6,10,1,1,8,1
1r0p,4,4,2,5,3,0,3,6,1,9,4,4,4,1,2,0,0,3,6,4
1r0x,1,2,1,1,1,2,5,6,2,12,2,1,5,1,11,5,1,0,2,2
1r1h,5,4,8,4,2,3,2,11,9,5,0,1,10,3,5,4,1,5,6,3
1r1j,4,4,8,4,1,3,2,10,9,4,0,1,6,3,5,4,1,4,6,3
1r4w,3,1,1,2,0,1,2,6,3,11,2,4,7,5,4,3,3,3,4,1
1r5y,3,1,1,3,2,4,2,11,1,6,0,6,3,1,7,3,1,4,7,0
1r6n,1,1,2,2,1,3,4,2,5,7,4,3,1,0,3,3,4,2,1,3
1r9l,5,0,6,2,2,4,3,5,3,1,0,2,1,3,2,7,4,6,2,2
1rbo,3,1,2,4,1,1,2,10,4,5,4,2,5,2,2,4,1,3,6,7
1rbp,8,3,4,6,1,3,2,6,3,5,6,4,7,1,5,3,4,4,7,1
1rd4,3,1,1,6,0,2,2,2,12,10,9,2,8,1,3,4,0,3,5,1
1rdi,0,0,5,2,2,0,3,3,0,1,0,0,1,2,1,0,2,0,5,0
1rdj,0,0,5,2,2,0,3,3,0,1,0,0,1,2,1,0,2,0,5,0
1rdl,0,0,5,2,2,0,3,3,0,1,0,0,1,2,1,0,2,0,5,0
1rdn,0,0,5,2,2,0,3,3,0,1,0,0,2,2,3,0,2,0,5,0
1rdt,7,4,2,3,2,2,3,6,5,16,3,1,6,2,6,4,1,0,6,5
1re8,3,2,3,6,1,3,6,8,3,12,8,5,7,2,2,6,0,5,7,2
1rej,2,1,2,6,0,3,5,7,2,11,6,5,5,1,2,6,0,5,7,2
1rek,3,3,2,6,1,3,6,7,4,12,9,5,7,1,2,5,0,5,8,3
1rgk,2,1,5,1,0,1,1,5,2,1,1,0,1,3,4,2,1,5,4,2
1rgl,2,1,5,1,0,1,1,5,2,1,1,0,1,3,4,2,1,5,4,2
1rle,2,4,6,3,0,0,2,4,5,6,3,2,0,0,1,1,0,1,4,0
1rnt,2,1,5,1,0,0,2,4,2,0,1,0,3,3,4,1,1,6,4,2
1ro6,6,2,4,7,2,2,4,2,3,6,3,3,4,2,5,3,2,5,9,7
1ro7,3,2,9,3,3,4,1,6,6,11,4,0,10,3,10,3,0,8,1,2
1rp7,6,6,3,5,1,7,8,11,9,8,2,4,4,5,8,5,0,6,3,4
1rpj,7,2,6,8,1,2,4,7,3,4,3,3,4,3,7,6,2,1,5,0
1rql,4,2,0,4,1,0,2,7,2,6,2,5,4,3,4,7,1,4,5,1
1rzx,2,2,2,4,0,1,1,5,4,7,2,2,2,2,4,3,0,1,6,0
1s38,3,2,1,3,2,4,2,10,1,7,0,6,3,1,7,4,1,4,7,1
1s39,3,1,1,3,2,4,2,10,1,6,0,6,3,1,8,3,1,3,7,0
1s63,5,3,5,4,7,3,1,5,0,6,4,1,4,3,4,2,3,11,1,4
1sb1,4,5,3,6,5,0,4,10,4,6,3,1,3,2,3,4,3,5,4,1
1sbg,2,2,2,3,0,0,1,7,5,7,2,1,1,3,0,4,0,0,4,0
1sc8,6,1,1,7,5,1,2,8,4,4,4,1,0,1,5,7,2,5,4,3
1sdt,4,4,4,6,0,0,2,13,12,12,4,2,2,6,0,8,0,0,8,0
1sdu,4,4,4,6,0,0,2,13,12,10,4,4,2,6,0,8,0,0,9,0
